symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,options_liquidity_source,options_liquidity_fetch_ok,options_liquidity_fetch_error,options_volume,open_interest,atm_bid_ask_spread,legacy_stage1_market_cap,legacy_stage1_reasons,options_liquidity_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_min_options_volume,stage1_step4_min_open_interest,stage1_step4_min_market_cap,stage1_step4_market_cap_checked,stage1_step4_verdict,stage1_step4_fail_reason
PENG,"Penguin Solutions, Inc.",NASDAQ,Technology,Semiconductors,48.81,48.81,3178030.0,2700274901.0,33.0,https://api.nasdaq.com/api/quote/PENG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PENG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PENG/overview,TRUE,0,,106.78,72.84,99.0,98.41,107.86,39.8,,,cache,TRUE,,5224,26473,1.2999999999999998,2700000000.0,,,106.78,75.0,1000,1000,1000000000.0,2700000000.0,PASS,
PGY,Pagaya Technologies Ltd.,NASDAQ,Finance,Finance: Consumer Services,13.08,13.08,3815149.0,1083298340.0,27.0,https://api.nasdaq.com/api/quote/PGY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PGY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PGY/overview,TRUE,0,,76.0,65.68,15.0,33.99,117.25,54.77,,,cache,TRUE,,1489,9924,0.20000000000000007,1060000000.0,,,76.0,75.0,1000,1000,1000000000.0,1060000000.0,PASS,
POET,POET TECHNOLOGIES INC.,NASDAQ,Technology,Semiconductors,14.82,14.82,33765995.0,2230717682.0,7.3,https://api.nasdaq.com/api/quote/POET/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/POET/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/POET/overview,TRUE,0,,146.94,290.73,93.0,66.06,198.72,46.16,,,cache,TRUE,,43639,87928,0.1299999999999999,2230000000.0,,,146.94,75.0,1000,1000,1000000000.0,2230000000.0,PASS,
PPTA,PERPETUA RESOURCES CORP.,NASDAQ,Basic Materials,Precious Metals,26.72,26.72,2736902.0,3167392816.0,39.8,https://api.nasdaq.com/api/quote/PPTA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PPTA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PPTA/overview,TRUE,0,,76.51,80.2,39.0,28.91,114.18,61.19,,,cache,TRUE,,3275,15517,0.6000000000000001,3170000000.0,,,76.51,75.0,1000,1000,1000000000.0,3170000000.0,PASS,
QUBT,Quantum Computing Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,11.41,11.41,68053944.0,2776335690.0,18.0,https://api.nasdaq.com/api/quote/QUBT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/QUBT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/QUBT/overview,TRUE,0,,108.51,114.89,72.0,43.31,152.99,74.54,,,cache,TRUE,,54496,30238,0.05999999999999994,2780000000.0,,,108.51,75.0,1000,1000,1000000000.0,2780000000.0,PASS,
RGTI,"Rigetti Computing, Inc.",NASDAQ,Technology,EDP Services,22.04,22.04,204233244.0,8781976481.0,30.5,https://api.nasdaq.com/api/quote/RGTI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RGTI/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RGTI/overview,TRUE,0,,122.93,127.11,87.0,51.47,168.74,74.35,,,cache,TRUE,,169515,65878,0.1499999999999999,8780000000.0,,,122.93,75.0,1000,1000,1000000000.0,8780000000.0,PASS,
RIOT,"Riot Platforms, Inc.",NASDAQ,Finance,Finance: Consumer Services,24.47,24.47,11155160.0,9252669929.0,25.0,https://api.nasdaq.com/api/quote/RIOT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RIOT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RIOT/overview,TRUE,0,,84.03,79.03,48.0,34.36,118.13,66.18,,,cache,TRUE,,52608,45867,0.04999999999999993,9260000000.0,,,84.03,75.0,1000,1000,1000000000.0,9260000000.0,PASS,
RLAY,"Relay Therapeutics, Inc.",NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.66,13.66,5355400.0,2592160812.0,21.5,https://api.nasdaq.com/api/quote/RLAY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RLAY/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RLAY/overview,TRUE,0,,95.45,66.25,3.0,3.42,759.75,71.91,,,cache,TRUE,,2057,39565,0.8,2590000000.0,,,95.45,75.0,1000,1000,1000000000.0,2590000000.0,PASS,
RUN,Sunrun Inc.,NASDAQ,Miscellaneous,Industrial Machinery/Components,14.445,14.445,5841028.0,3487590576.0,20.0,https://api.nasdaq.com/api/quote/RUN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/RUN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/RUN/overview,TRUE,0,,86.92,64.01,43.0,25.4,162.47,61.2,,,cache,TRUE,,2948,6626,0.21000000000000008,3490000000.0,,,86.92,75.0,1000,1000,1000000000.0,3490000000.0,PASS,
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",NASDAQ,Technology,Semiconductors,63.0,63.0,4079940.0,3767687614.0,36.0,https://api.nasdaq.com/api/quote/SEDG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/SEDG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/SEDG/overview,TRUE,0,,111.03,116.75,82.0,72.83,127.25,67.54,,,cache,TRUE,,3946,7971,0.7500000000000004,3770000000.0,,,111.03,75.0,1000,1000,1000000000.0,3770000000.0,PASS,
