symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_verdict,stage1_step4_fail_reason
IRDM,Iridium Communications Inc.,NASDAQ,Telecommunications,Telecommunications Equipment,45.7,45.7,2247350.0,5163743017.0,39.0,https://api.nasdaq.com/api/quote/IRDM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/IRDM/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/IRDM/overview,TRUE,0,,80.7,64.44,99.0,99.82,80.78,35.16,,,80.7,75.0,PASS,
IREN,IREN Ltd,NASDAQ,Technology,EDP Services,58.06,58.06,36374598.0,20309830043.0,80.0,https://api.nasdaq.com/api/quote/IREN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/IREN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/IREN/overview,TRUE,0,,99.49,105.86,29.0,33.26,143.04,77.78,,,99.49,75.0,PASS,
KC,Kingsoft Cloud Holdings Ltd,NASDAQ,Technology,Computer Software: Prepackaged Software,13.63,13.63,2017496.0,4257036622.0,19.2,https://api.nasdaq.com/api/quote/KC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/KC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/KC/overview,TRUE,0,,95.31,80.43,98.0,96.85,96.85,48.18,,,95.31,75.0,PASS,
LPTH,LIGHTPATH TECHNOLOGIES INC,NASDAQ,Technology,Semiconductors,14.28,14.28,7850173.0,1064280449.0,15.95,https://api.nasdaq.com/api/quote/LPTH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LPTH/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LPTH/overview,TRUE,0,,129.33,113.67,79.0,16.48,313.78,92.94,,,129.33,75.0,PASS,
LUNR,"Intuitive Machines, Inc.",NASDAQ,Industrials,Industrial Machinery/Components,34.24,34.24,14814308.0,8303221509.0,42.0,https://api.nasdaq.com/api/quote/LUNR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LUNR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LUNR/overview,TRUE,0,,128.57,103.03,96.0,74.58,153.97,54.08,,,128.57,75.0,PASS,
LWLG,"Lightwave Logic, Inc.",NASDAQ,Industrials,Containers/Packaging,13.17,13.17,6633844.0,1979923271.0,,https://api.nasdaq.com/api/quote/LWLG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/LWLG/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/LWLG/overview,TRUE,0,,139.96,150.35,73.0,62.04,177.3,78.96,,,139.96,75.0,PASS,
MARA,"MARA Holdings, Inc.",NASDAQ,Technology,EDP Services,13.55,13.55,40169136.0,5265345646.0,15.5,https://api.nasdaq.com/api/quote/MARA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/MARA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/MARA/overview,TRUE,0,,81.04,68.47,37.0,30.67,130.27,59.26,,,81.04,75.0,PASS,
NAVN,"Navan, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,18.55,18.55,4620013.0,5020745072.0,22.0,https://api.nasdaq.com/api/quote/NAVN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NAVN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NAVN/overview,TRUE,0,,86.18,41.87,27.0,27.82,151.14,61.14,,,86.18,75.0,PASS,
NCNO,"nCino, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,15.83,15.83,2746967.0,1748329190.0,23.0,https://api.nasdaq.com/api/quote/NCNO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NCNO/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NCNO/overview,TRUE,0,,81.48,44.31,98.0,88.65,87.66,33.15,,,81.48,75.0,PASS,
NN,NEXTNAV INC.,NASDAQ,Industrials,Industrial Machinery/Components,21.38,21.38,1524525.0,2966139054.0,27.0,https://api.nasdaq.com/api/quote/NN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/NN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/NN/overview,TRUE,0,,85.74,114.03,22.0,21.33,148.92,68.61,,,85.74,75.0,PASS,
